"label","youtube_id","time_start","time_end","split","is_cc"
"abseiling","mJtln6FZ9-g",213,223,"train",0
"abseiling","y3GTBWwEhGI",19,29,"train",0
"abseiling","SFU_UxzfgPg",12,22,"train",0
"abseiling","wU3tMhvk89k",18,28,"train",0
"abseiling","aP1tA12GEMI",11,21,"train",0
"air drumming","XF_HDUg8ObA",15,25,"train",0
"air drumming","10dZYe23HQs",13,23,"train",0
"air drumming","smG7C2reUUc",0,10,"train",0
"air drumming","T-GTpW9S0QQ",1,11,"train",0
"air drumming","1fro95eDEAw",58,68,"train",0
"answering questions","PHPtyFuKNyU",2,12,"train",0
"answering questions","SZWOuiHrPOU",16,26,"train",0
"answering questions","kKB5u7nJT9c",77,87,"train",0
"answering questions","_5W9Fxl_dFE",186,196,"train",0
"answering questions","LXApxm76Pbw",93,103,"train",0
"applauding","VlyidHlkUqU",22,32,"train",0
"applauding","I299Hky1p0s",1,11,"train",0
"applauding","8hSxmUKwyak",2,12,"train",0
"applauding","rb0O4vS6hC0",41,51,"train",0
"applauding","w1SJc2ES41s",277,287,"train",0
"applying cream","OGogJcUhwpY",35,45,"train",0
"applying cream","SHZbgh6tjyw",17,27,"train",0
"applying cream","Tq7eSC3aWys",0,10,"train",0
"applying cream","4i3OTta8DZ4",132,142,"train",0
"applying cream","msGjfozFIuI",2,12,"train",0
"archery","gdMG81s4rhI",2,12,"train",0
"archery","gEMVokzF96A",2,12,"train",0
"archery","MPN0HW9oz5U",43,53,"train",0
"archery","WNXVFQi3q5c",30,40,"train",0
"archery","1DDCYdivGFs",61,71,"train",0
"arm wrestling","leNi2VWhK9M",214,224,"train",0
"arm wrestling","YAGadI1mr20",0,10,"train",0
"arm wrestling","IRrUbEp8Dgw",93,103,"train",0
"arm wrestling","bVipYS94x6c",67,77,"train",0
"arm wrestling","DWhCg40WlSc",107,117,"train",0
"arranging flowers","NwrRhAshYr0",315,325,"train",0
"arranging flowers","GDtlU59e53A",314,324,"train",0
"arranging flowers","IShJKtPSrT0",11,21,"train",0
"arranging flowers","r4ueI1tSeSE",116,126,"train",0
"arranging flowers","03c_g8lhMT0",71,81,"train",0
"assembling computer","DY6iKrPt4w8",19,29,"train",0
"assembling computer","ctF2dhGS5EM",35,45,"train",0
"assembling computer","bRO_qtV4R1U",162,172,"train",0
"assembling computer","Ei1RENnRqpQ",579,589,"train",0
"assembling computer","7-_rfPb8lXY",177,187,"train",0
"auctioning","ci_3k3QEEQg",457,467,"train",0
"auctioning","omuAP6tGVLI",247,257,"train",0
"auctioning","Qp2SuP6KSKw",798,808,"train",0
"auctioning","J6IscboYKCk",14,24,"train",0
"auctioning","ZroWDEX0wpw",170,180,"train",0
"baby waking up","e1BIMVNhE9s",31,41,"train",0
"baby waking up","lFC0YZSXe2g",33,43,"train",0
"baby waking up","iF-84Pw_lwY",0,10,"train",0
"baby waking up","jDkQ9GjwjiA",28,38,"train",0
"baby waking up","xXpo7aa1EP0",0,10,"train",0
"baking cookies","GfQIkA9rxxs",75,85,"train",0
"baking cookies","9oupNzep9yY",303,313,"train",0
"baking cookies","D8X9kWCzayw",61,71,"train",0
"baking cookies","5zrytE7_LkU",353,363,"train",0
